name,link,rating,wattage,picture,keyword
Google Chromebook Pixel 32GB Intel Core i5-3427U (Dual Core 1.8GHz) 13 2560 x 1700 Gorilla Glass Multi-Touch Display WiFi,https://www.newegg.com/Product/Product.aspx?Item=9SIAAKM53D7227&cm_re=google_laptops-_-9SIAAKM53D7227-_-Product,,,images10.newegg.com/ProductImageCompressAll300/AAKM_131243375742100229Lm1cKEbm3h.jpg,google laptops/n
Google Chromebook Pixel 64GB WiFi + 4G LTE Laptop 12.85 WQXGA Touch Screen and Core i5 1.8GHz Processor,https://www.newegg.com/Product/Product.aspx?Item=9SIA9H955W2676&cm_re=google_laptops-_-9SIA9H955W2676-_-Product,,,images10.newegg.com/ProductImageCompressAll300/A9H9_1_201612191607090399.jpg,google laptops/n
Google Chromecast HDMI Streaming Media Player (H2G2-42),https://www.newegg.com/Product/Product.aspx?Item=9SIA4T01GS2772&cm_re=google_laptops-_-15-597-001-_-Product,,,images10.newegg.com/ProductImageCompressAll300/15-597-001-18.jpg,google laptops/n
Google GA3A00403A14 Chromecast Ultra,https://www.newegg.com/Product/Product.aspx?Item=9SIABMT57Z6467&cm_re=google_laptops-_-15-597-010-_-Product,,,images10.newegg.com/NeweggImage/ProductImageCompressAll300/15-597-010-V01.jpg,google laptops/n
Google Chromebook Pixel 64GB Intel Core i5-3427U (Dual Core 1.8GHz) 13 2560 x 1700 Gorilla Glass Multi-Touch Display Built-in LTE,https://www.newegg.com/Product/Product.aspx?Item=9SIAAKM5287265&cm_re=google_laptops-_-1TS-001X-00003-_-Product,,,images10.newegg.com/ProductImageCompressAll300/AAKM_1312277856153244522Kfpy2pLth.jpg,google laptops/n
Acer CB3-131-C3SZ Chromebook Intel Celeron N2840 (2.16 GHz) 2 GB DDR3L Memory 16 GB Flash SSD 11.6 Chrome OS (Manufacturer Recertified),https://www.newegg.com/Product/Product.aspx?Item=N82E16834315607&cm_re=google_laptops-_-34-315-607-_-Product,,45,images10.newegg.com/ProductImageCompressAll300/34-315-607-02.jpg,google laptops/n
Acer CB5-571-C4G4 Chromebook Intel Celeron 3205U (1.50 GHz) 4 GB Memory 16 GB SSD 15.6 Chrome OS (Manufacturer Recertified),https://www.newegg.com/Product/Product.aspx?Item=N82E16834315347&cm_re=google_laptops-_-34-315-347-_-Product,,,images10.newegg.com/ProductImageCompressAll300/34-315-347-S04.jpg,google laptops/n
Acer CB3-131-C3KD Chromebook Intel Celeron N2840 (2.16 GHz) 2 GB DDR3L Memory 16 GB Flash 11.6 Chrome OS (Manufacturer Recertified),https://www.newegg.com/Product/Product.aspx?Item=N82E16834315606&cm_re=google_laptops-_-34-315-606-_-Product,,45,images10.newegg.com/ProductImageCompressAll300/34-315-606-03.jpg,google laptops/n
Acer CB3-431-C5EX Chromebook Intel Celeron N3160 (1.60 GHz) 4 GB Memory 32 GB eMMC SSD 14.0  Chrome OS (Manufacturer Recertified),https://www.newegg.com/Product/Product.aspx?Item=N82E16834315715&cm_re=google_laptops-_-34-315-715-_-Product,,Cannot compute wattage!,images10.newegg.com/ProductImageCompressAll300/34-315-715-Z01.jpg,google laptops/n
Acer CB3-431-C5FM Chromebook Intel Celeron N3160 (1.60 GHz) 4 GB LPDDR3 Memory 32 GB Flash 14.0 Chrome OS (Manufacturer Recertified),https://www.newegg.com/Product/Product.aspx?Item=N82E16834315612&cm_re=google_laptops-_-34-315-612-_-Product,,,images10.newegg.com/ProductImageCompressAll300/34-315-612-Z01.jpg,google laptops/n
