picture,price,link,material,score,name,section,brand,keyword
http://nord.imgix.net/Zoom/14/_100019754.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,68.00,https://nordstrom.com/s/halogen-long-linen-blend-cardigan-regular-petite/3870446?origin=keywordsearch-personalizedsort&fashioncolor=BLUE%20STONEWASH,57% linen  27% viscose  16% polyester.,6.12,Long Linen Blend Cardigan (Regular & Petite),Women,Nordstorm,Sweaters & Cardigans
http://nord.imgix.net/Zoom/10/_13354810.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,54.00,https://nordstrom.com/s/gibson-convertible-neckline-cozy-fleece-tunic-regular-petite/4422447?origin=keywordsearch-personalizedsort&fashioncolor=HEATHER%20LIGHT%20GREY,74% rayon  21% polyester  5% spandex,6.12,Convertible Neckline Cozy Fleece Tunic (Regular & Petite),Women,Nordstorm,Sweaters & Cardigans
http://nord.imgix.net/Zoom/0/_13221100.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,39.00,https://nordstrom.com/s/bp-v-neck-long-sleeve-sweater/4397166?origin=keywordsearch-personalizedsort&fashioncolor=GREY%20CLOUDY%20HEATHER,76% rayon  21% polyester  3% spandex,6.12,V-Neck Long Sleeve Sweater,Women,Nordstorm,Sweaters & Cardigans
http://nord.imgix.net/Zoom/4/_100362524.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,80.00,https://nordstrom.com/s/topshop-open-back-sweater/4597454?origin=keywordsearch-personalizedsort&fashioncolor=LIGHT%20PINK,64% acrylic  33% nylon  3% wool,6.12,Open Back Sweater,Women,Nordstorm,Sweaters & Cardigans
http://nord.imgix.net/Zoom/3/_13359563.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,76.80,https://nordstrom.com/s/free-people-low-tide-cardigan/4498409?origin=keywordsearch-personalizedsort&fashioncolor=CREAM,71% cotton  15% nylon  14% acrylic,6.12,Low Tide Cardigan,Women,Nordstorm,Sweaters & Cardigans
http://nord.imgix.net/Zoom/11/_13468951.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,46.00,https://nordstrom.com/s/halogen-three-quarter-sleeve-cardigan-regular-petite/3320328?origin=keywordsearch-personalizedsort&fashioncolor=HEATHER%20MEDIUM%20GREY,Cream/Heather Grey Stripe  Black/Silver Tribal Print  White/Black Grid Print  Lime/Cream Grid Print and Coral/Sand Triangle are 100% cotton.,6.12,Three Quarter Sleeve Cardigan (Regular & Petite),Women,Nordstorm,Sweaters & Cardigans
http://nord.imgix.net/Zoom/4/_100132964.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,32.00,https://nordstrom.com/s/halogen-modal-jersey-v-neck-tee-regular-petite/4089424?origin=keywordsearch-personalizedsort&fashioncolor=BLUE%20REGATTA,95% modal  5% spandex.,6.12,Modal Jersey V-Neck Tee (Regular & Petite),Women,Nordstorm,Shirts
http://nord.imgix.net/Zoom/11/_100270531.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,29.00,https://nordstrom.com/s/socialite-strap-front-tee/4474180?origin=keywordsearch-personalizedsort&fashioncolor=ROSE%20DAWN,Rose Dawn is 63% polyester  34% rayon  3% spandex. All other colors are 55% polyester  41% polyester  4% spandex,6.12,Strap Front Tee,Women,Nordstorm,Shirts
http://nord.imgix.net/Zoom/13/_100079173.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,19.50,https://nordstrom.com/s/madewell-whisper-cotton-v-neck-pocket-tee/3966031?origin=keywordsearch-personalizedsort&fashioncolor=TRUE%20BLACK,100% cotton.,6.12,'Whisper' Cotton V-Neck Pocket Tee,Women,Nordstorm,Shirts
http://nord.imgix.net/Zoom/4/_100487364.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,45.00,https://nordstrom.com/s/lush-cross-front-blouse/4520144?origin=keywordsearch-personalizedsort&fashioncolor=IVORY%2F%20BLUE%20PAISLEY,100% polyester,54.5,Cross Front Blouse,Women,Nordstorm,Shirts
