link,picture,name,price,section,materials,keyword,score
https://www.uniqlo.com/us/en/women-u-body-v-neck-long-sleeve-t-shirt-189898.html?dwvar_189898_color=COL56&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_56_189898?$detail$,WOMEN U BODY V-NECK LONG-SLEEVE T-SHIRT,19.90,women,"['97% Cotton', '3% Spandex']",shirts,10.515259380479943
https://www.uniqlo.com/us/en/women-supima-cotton-crewneck-long-sleeve-t-182154.html?dwvar_182154_color=COL11&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_11_182154?$detail$,WOMEN SUPIMA COTTON CREWNECK LONG SLEEVE T,14.90,women,"['94% Cotton', '6% Spandex']",shirts,10.531479565586924
https://www.uniqlo.com/us/en/women-supima-cotton-v-neck-long-sleeve-t-189883.html?dwvar_189883_color=COL21&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_21_189883?$detail$,WOMEN SUPIMA COTTON V-NECK LONG SLEEVE T,14.90,women,"['94% Cotton', '6% Spandex']",shirts,10.531479565586924
https://www.uniqlo.com/us/en/womens-supima-cotton-crewneck-long-sleeve-t-shirt-172267.html?dwvar_172267_color=COL18&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_18_172267?$detail$,Women's Supima® Cotton Crewneck Long Sleeve T-Shirt,14.90,women,"['94% Cotton', '6% Spandex']",shirts,10.531479565586924
https://www.uniqlo.com/us/en/women-ribbed-high-neck-long-sleeve-t-shirt-192303.html?dwvar_192303_color=COL69&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_69_192303?$detail$,WOMEN RIBBED HIGH NECK LONG-SLEEVE T-SHIRT,9.90,women,"['97% Cotton', '3% Spandex']",shirts,10.515259380479943
https://www.uniqlo.com/us/en/women-striped-boat-neck-long-sleeve-t-shirt-182156.html?dwvar_182156_color=COL01&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_01_182156?$detail$,WOMEN STRIPED BOAT NECK LONG SLEEVE T-SHIRT,14.90,women,['100% Cotton'],shirts,10.499999920312389
https://www.uniqlo.com/us/en/women-supima-cotton-crewneck-3%2F4-sleeve-t-182153.html?dwvar_182153_color=COL69&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_69_182153?$detail$,WOMEN SUPIMA COTTON CREWNECK 3/4 SLEEVE T,14.90,women,"['94% Cotton', '6% Spandex']",shirts,10.531479565586924
https://www.uniqlo.com/us/en/womens-supima-cotton-3%2F4-sleeve-crew-neck-t-shirt-172266.html?dwvar_172266_color=COL09&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_09_172266?$detail$,Women's Supima® Cotton 3/4 Sleeve Crew Neck T-Shirt,14.90,women,"['94% Cotton', '6% Spandex']",shirts,10.531479565586924
https://www.uniqlo.com/us/en/women-milano-ribbed-cut-sewn-3%2F4-sleeve-tee-190393.html?dwvar_190393_color=COL01&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_01_190393?$detail$,WOMEN MILANO RIBBED CUT SEWN 3/4 SLEEVE TEE,19.90,women,"['81% Polyester', '17% Rayon', '2% Spandex']",shirts,56.350057619005405
https://www.uniqlo.com/us/en/women-double-face-3%2F4-sleeve-pullover-176635.html?dwvar_176635_color=COL09&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_09_176635?$detail$,WOMEN DOUBLE FACE 3/4 SLEEVE PULLOVER,19.90,women,"['88% Cotton', '6% Nylon', '6% Spandex']",shirts,10.567469495744861
https://www.uniqlo.com/us/en/women-mock-neck-wide-3%2F4-sleeve-t-shirt-193328.html?dwvar_193328_color=COL36&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_36_193328?$detail$,WOMEN MOCK NECK WIDE 3/4 SLEEVE T-SHIRT,14.90,women,['100% Cotton'],shirts,10.499999920312389
https://www.uniqlo.com/us/en/women-u-crew-neck-short-sleeve-t-shirt-193455.html?dwvar_193455_color=COL10&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_10_193455?$detail$,WOMEN U CREW NECK SHORT SLEEVE T-SHIRT,9.90,women,['100% Cotton'],shirts,10.499999920312389
https://www.uniqlo.com/us/en/women-u-lightweight-sweat-half-sleeve-t-shirt-189900.html?dwvar_189900_color=COL34&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_34_189900?$detail$,WOMEN U LIGHTWEIGHT SWEAT HALF SLEEVE T-SHIRT,19.90,women,"['100% Cotton', '80% Cotton', '20% Polyester']",shirts,10.623645636885868
https://www.uniqlo.com/us/en/women-u-tank-top-189895.html?dwvar_189895_color=COL10&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_10_189895?$detail$,WOMEN U TANK TOP,9.90,women,"['97% Cotton', '3% Spandex', '94% Cotton', '6% Spandex']",shirts,10.531479565586924
https://www.uniqlo.com/us/en/women-idlf-ribbed-striped-crewneck-short-sleeve-t-shirt-191693.html?dwvar_191693_color=COL69&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_69_191693?$detail$,WOMEN IDLF RIBBED STRIPED CREWNECK SHORT-SLEEVE T-SHIRT,19.90,women,"['96% Cotton', '4% Spandex']",shirts,10.520554973243417
https://www.uniqlo.com/us/en/women-idlf-henley-neck-short-sleeve-t-shirt-194773.html?dwvar_194773_color=COL60&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_60_194773?$detail$,WOMEN IDLF HENLEY NECK SHORT-SLEEVE T-SHIRT,19.90,women,['100% Cotton'],shirts,10.499999920312389
