picture,price,link,material,score,name,category,brand,keyword
http://nord.imgix.net/Zoom/14/_13463594.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,49.50,https://nordstrom.com/s/nordstrom-mens-shop-cotton-cashmere-v-neck-sweater-regular-tall/3721841?origin=keywordsearch-personalizedsort&fashioncolor=GREY%20OPAL%20HEATHER,95% cotton  5% cashmere.,6.12,Cotton & Cashmere V-Neck Sweater (Regular & Tall),Men,Nordstorm,Sweaters & Cardigans
http://nord.imgix.net/Zoom/5/_10837005.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,59.50,https://nordstrom.com/s/nordstrom-mens-shop-half-zip-cotton-cashmere-pullover-regular-tall/3736650?origin=keywordsearch-personalizedsort&fashioncolor=BLUE%20CELESTIAL%20HEATHER,95% cotton  5% cashmere.,6.12,Half Zip Cotton & Cashmere Pullover (Regular & Tall),Men,Nordstorm,Sweaters & Cardigans
http://nord.imgix.net/Zoom/4/_13160024.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,79.49,https://nordstrom.com/s/ted-baker-london-cashguy-trim-fit-v-neck-sweater/4392109?origin=keywordsearch-personalizedsort&fashioncolor=TEAL,40% wool  30% polyamide  20% silk  10% cashmere.,6.12,'Cashguy' Trim Fit V-Neck Sweater,Men,Nordstorm,Sweaters & Cardigans
http://nord.imgix.net/Zoom/0/_13279300.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,98.50,https://nordstrom.com/s/vineyard-vines-quarter-zip-sweater/4461439?origin=keywordsearch-personalizedsort&fashioncolor=STARBOARD%20GREEN,100% pima cotton,6.12,Quarter Zip Sweater,Men,Nordstorm,Sweaters & Cardigans
http://nord.imgix.net/Zoom/16/_9070516.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,92.00,https://nordstrom.com/s/cutter-buck-broadview-half-zip-sweater-big-tall/3752965?origin=keywordsearch-personalizedsort&fashioncolor=NAVY%20HEATHER,100% cotton.,6.12,'Broadview' Half Zip Sweater (Big & Tall),Men,Nordstorm,Sweaters & Cardigans
http://nord.imgix.net/Zoom/18/_100480358.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,145.00,https://nordstrom.com/s/peter-millar-crown-quarter-zip-sweater/4445694?origin=keywordsearch-personalizedsort&fashioncolor=GREY%20SOUND,80% cotton  20% silk,6.12,Crown Quarter Zip Sweater,Men,Nordstorm,Sweaters & Cardigans
http://nord.imgix.net/Zoom/16/_100450576.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,175.00,https://nordstrom.com/s/burberry-brit-oxford-short-sleeve-polo/4178324?origin=keywordsearch-personalizedsort&fashioncolor=CHALK%20BLUE,100% cotton.,6.12,'Oxford' Short Sleeve Polo,Men,Nordstorm,Shirts
http://nord.imgix.net/Zoom/1/_13159981.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,125.00,https://nordstrom.com/s/comme-des-garcons-play-heart-face-graphic-t-shirt/3609528?origin=keywordsearch-personalizedsort&fashioncolor=WHITE,100% cotton,6274.5,PLAY Heart Face Graphic T-Shirt,Men,Nordstorm,Shirts
http://nord.imgix.net/Zoom/17/_100439617.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,265.00,https://nordstrom.com/s/burberry-brit-cambridge-aboyd-trim-fit-sport-shirt/4061528?origin=keywordsearch-personalizedsort&fashioncolor=PALE%20PERIDOT%20BLUE,97% cotton  3% elastane.,6.12,'Cambridge Aboyd' Trim Fit Sport Shirt,Men,Nordstorm,Shirts
http://nord.imgix.net/Zoom/9/_13278029.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,39.90,https://nordstrom.com/s/nordstrom-mens-shop-smartcare-trim-fit-dress-shirt/3286612?origin=keywordsearch-personalizedsort&fashioncolor=WHITE,100% cotton,6274.5,Smartcare™ Trim Fit Dress Shirt,Men,Nordstorm,Shirts
http://nord.imgix.net/Zoom/12/_11568612.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,100.00,https://nordstrom.com/s/comme-des-garcons-play-crewneck-t-shirt/4174695?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,100% cotton,6274.5,PLAY Crewneck T-Shirt,Men,Nordstorm,Shirts
http://nord.imgix.net/Zoom/1/_13301641.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,145.00,https://nordstrom.com/s/vince-long-sleeve-henley/4457672?origin=keywordsearch-personalizedsort&fashioncolor=PEWTER,100% cotton,6274.5,Long Sleeve Henley,Men,Nordstorm,Shirts
http://nord.imgix.net/Zoom/13/_10340493.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,52.50,https://nordstrom.com/s/topman-ripped-stretch-skinny-fit-jeans/4020758?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,99% cotton  1% elastane.,6.12,Ripped Stretch Skinny Fit Jeans,Men,Nordstorm,Jeans
http://nord.imgix.net/Zoom/7/_100132127.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,75.00,https://nordstrom.com/s/topman-ripped-stretch-skinny-jeans/4547180?origin=keywordsearch-personalizedsort&fashioncolor=LIGHT%20WASH%20DENIM,99% cotton  1% elastane,6.12,Ripped Stretch Skinny Jeans,Men,Nordstorm,Jeans
http://nord.imgix.net/Zoom/17/_8248497.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,188.00,https://nordstrom.com/s/ag-graduate-slim-straight-leg-jeans-robinson/3476830?origin=keywordsearch-personalizedsort&fashioncolor=ROBINSON,98% cotton  2% polyurethane,6.12,Graduate Slim Straight Leg Jeans (Robinson),Men,Nordstorm,Jeans
http://nord.imgix.net/Zoom/11/_100205211.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,118.80,https://nordstrom.com/s/true-religion-brand-jeans-geno-straight-leg-jeans-wanted-man/4557118?origin=keywordsearch-personalizedsort&fashioncolor=BUJD%20WANTED%20MAN,98% cotton  2% elastane,6.12,Geno Straight Leg Jeans (Wanted Man),Men,Nordstorm,Jeans
,185.00,https://nordstrom.com/s/ag-protege-straight-leg-jeans-hunts-regular-tall/3075264?origin=keywordsearch-personalizedsort&fashioncolor=HUNTS%20WASH,98% cotton  2% elastane.,6.12,Protégé Straight Leg Jeans (Hunts) (Regular & Tall),Men,Nordstorm,Jeans
,178.00,https://nordstrom.com/s/7-for-all-mankind-austyn-relaxed-straight-leg-jeans-los-angeles-dark/3005903?origin=keywordsearch-personalizedsort&fashioncolor=LOS%20ANGELES%20DARK,98% cotton  2% spandex; machine wash  tumble dry low.,6.12,'Austyn' Relaxed Straight Leg Jeans (Los Angeles Dark),Men,Nordstorm,Jeans
http://nord.imgix.net/Zoom/4/_13325124.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,99.90,https://nordstrom.com/s/michael-kors-wool-blend-double-breasted-peacoat/3815683?origin=keywordsearch-personalizedsort&fashioncolor=OFFICER%20NAVY,60% wool  30% polyester  10% rayon; Brown Heather and Heather Grey are 60% wool  30% polyester  5% nylon  5% other fibers; Loden Green is 63% wool  32% polyester  5% other fibers.,6.12,Wool Blend Double Breasted Peacoat,Men,Nordstorm,Jackets & Coats
http://nord.imgix.net/Zoom/0/_100418840.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,169.90,https://nordstrom.com/s/barbour-chelsea-regular-fit-quilted-jacket/3785737?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,100% polyester.,6.12,'Chelsea' Regular Fit Quilted Jacket,Men,Nordstorm,Jackets & Coats
http://nord.imgix.net/Zoom/5/_100037525.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,150.00,https://nordstrom.com/s/alpha-industries-nasa-ma-1-bomber-jacket/4532735?origin=keywordsearch-personalizedsort&fashioncolor=REPLICA%20BLUE,100% nylon,35.0,NASA MA-1 Bomber Jacket,Men,Nordstorm,Jackets & Coats
http://nord.imgix.net/Zoom/0/_8607620.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,297.49,https://nordstrom.com/s/cole-haan-italian-wool-blend-overcoat/3478751?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,65% wool  20% nylon  10% cashmere  5% polyester.,6.12,Italian Wool Blend Overcoat,Men,Nordstorm,Jackets & Coats
http://nord.imgix.net/Zoom/18/_9028898.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,99.00,https://nordstrom.com/s/the-north-face-venture-packable-waterproof-jacket/3617362?origin=keywordsearch-personalizedsort&fashioncolor=TNF%20BLACK,62% nylon  38% polyester or 100% nylon.,6.12,'Venture' Packable Waterproof Jacket,Men,Nordstorm,Jackets & Coats
http://nord.imgix.net/Zoom/4/_12906224.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,140.00,https://nordstrom.com/s/alpha-industries-ma-1-slim-fit-bomber-jacket/4427110?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,100% nylon.,6.12,'MA-1' Slim Fit Bomber Jacket,Men,Nordstorm,Jackets & Coats
http://nord.imgix.net/Zoom/3/_13301043.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,225.00,https://nordstrom.com/s/vince-side-zip-pullover-hoodie/4423854?origin=keywordsearch-personalizedsort&fashioncolor=PEWTER,100% cotton,6274.5,Side Zip Pullover Hoodie,Men,Nordstorm,Hoodies & Sweatshirts
http://nord.imgix.net/Zoom/4/_13160104.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,272.00,https://nordstrom.com/s/comme-des-garcons-play-pullover-hoodie/3883158?origin=keywordsearch-personalizedsort&fashioncolor=BLUE,100% polyester,54.5,PLAY Pullover Hoodie,Men,Nordstorm,Hoodies & Sweatshirts
http://nord.imgix.net/Zoom/0/_100161300.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,130.00,https://nordstrom.com/s/nike-windrunner-tech-fleece-hoodie/4270351?origin=keywordsearch-personalizedsort&fashioncolor=SEAWEED%2F%20HEATHER%2F%20BLACK,70% cotton  30% polyester.,6.12,'Windrunner' Tech Fleece Hoodie,Men,Nordstorm,Hoodies & Sweatshirts
http://nord.imgix.net/Zoom/12/_100153452.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,575.00,https://nordstrom.com/s/canada-goose-hybridge-lite-hoody-slim-fit-packable-jacket/3509958?origin=keywordsearch-personalizedsort&fashioncolor=RED%2F%20BLACK,100% nylon.,6.12,'Hybridge™ Lite Hoody' Slim Fit Packable Jacket,Men,Nordstorm,Hoodies & Sweatshirts
